action_part,grasp_part,attachment,geo_score,att_score
wood_L_shape.ply,tongs.ply,grasp,5.836769e+01,3.221249e-01
wood_L_shape.ply,tongs.ply,grasp,5.836769e+01,3.220398e-01
wood_L_shape.ply,wood_short_midPoint.ply,magnetic,5.837186e+01,3.010985e-01
wood_short_midPoint.ply,tongs.ply,grasp,5.847425e+01,2.367327e-01
wood_short_midPoint.ply,wood_L_shape.ply,magnetic,5.851327e+01,3.072076e-01
red_flat_piece_2mag.ply,wood_short_midPoint.ply,magnetic,5.865077e+01,3.415137e-01
red_flat_piece_2mag.ply,wood_short_midPoint.ply,magnetic,5.865077e+01,2.980436e-01
tongs.ply,wood_short_midPoint.ply,None,5.874490e+01,Inf
tongs.ply,wood_short_midPoint.ply,None,5.874490e+01,Inf
red_flat_piece_2mag.ply,wood_L_shape.ply,magnetic,5.876022e+01,3.517658e-01
red_flat_piece_2mag.ply,wood_L_shape.ply,magnetic,5.876022e+01,3.082957e-01
tongs.ply,wood_L_shape.ply,None,5.876779e+01,Inf
tongs.ply,wood_L_shape.ply,None,5.876779e+01,Inf
red_flat_piece_2mag.ply,tongs.ply,grasp,5.886133e+01,3.190615e-01
wood_L_shape.ply,red_flat_piece_2mag.ply,magnetic,5.900993e+01,3.344241e-01
wood_L_shape.ply,red_flat_piece_2mag.ply,magnetic,5.900993e+01,3.066207e-01
wood_short_midPoint.ply,red_flat_piece_2mag.ply,magnetic,5.904048e+01,3.302812e-01
wood_short_midPoint.ply,red_flat_piece_2mag.ply,magnetic,5.904048e+01,3.024778e-01
tongs.ply,red_flat_piece_2mag.ply,None,5.923264e+01,Inf
tongs.ply,red_flat_piece_2mag.ply,None,5.923264e+01,Inf
tongs.ply,red_flat_piece_2mag.ply,None,5.923264e+01,Inf
