obj_combo,geoscore,att_type,att_score,total_score
"('tongs.ply', 'screwdriver_large.ply')",58.36552,pierce,0.1316711,0.1316711
"('coin.ply', 'screwdriver_large.ply')",59.09279,pierce,0.1406149,0.1406149
"('yellow_foam.ply', 'screwdriver_large.ply')",58.18588,pierce,0.1406149,0.1406149
"('screwdriver_large.ply', 'tongs.ply')",58.48273,grasp,0.2642872,0.2642872
"('coin.ply', 'tongs.ply')",59.17655,grasp,0.2689714,0.2689714
"('coin.ply', 'tongs.ply')",59.17655,grasp,0.2794155,0.2794155
"('yellow_foam.ply', 'tongs.ply')",58.26474,grasp,0.3646984,0.3646984
"('yellow_foam.ply', 'coin.ply')",58.91104,None,inf,inf
"('screwdriver_large.ply', 'yellow_foam.ply')",58.70327,None,inf,inf
"('coin.ply', 'yellow_foam.ply')",58.93029,None,inf,inf
"('tongs.ply', 'yellow_foam.ply')",58.60656,None,inf,inf
"('screwdriver_large.ply', 'coin.ply')",59.39904,None,inf,inf
"('tongs.ply', 'coin.ply')",59.21906,None,inf,inf
