action_part,grasp_part,attachment,geo_score,att_score
red_bowl.ply,yellow_foam.ply,None,8.104969e-01,Inf
screwdriver_large.ply,yellow_foam.ply,None,8.399227e-01,Inf
red_bowl.ply,red_flat_piece_1mag.ply,None,9.652725e-01,Inf
red_bowl.ply,red_flat_piece_1mag.ply,None,9.652725e-01,Inf
screwdriver_large.ply,red_bowl.ply,None,9.949626e-01,Inf
red_bowl.ply,screwdriver_large.ply,pierce,1.018679e+00,1.436611e-04
yellow_foam.ply,screwdriver_large.ply,pierce,1.028610e+00,1.436564e-04
screwdriver_large.ply,red_flat_piece_1mag.ply,None,1.071958e+00,Inf
screwdriver_large.ply,red_flat_piece_1mag.ply,None,1.071958e+00,Inf
yellow_foam.ply,red_flat_piece_1mag.ply,None,1.131389e+00,Inf
yellow_foam.ply,red_flat_piece_1mag.ply,None,1.131389e+00,Inf
yellow_foam.ply,red_bowl.ply,None,1.208757e+00,Inf
red_flat_piece_1mag.ply,red_bowl.ply,None,1.304123e+00,Inf
red_flat_piece_1mag.ply,red_bowl.ply,None,1.304123e+00,Inf
red_flat_piece_1mag.ply,yellow_foam.ply,None,1.325326e+00,Inf
red_flat_piece_1mag.ply,yellow_foam.ply,None,1.325326e+00,Inf
red_flat_piece_1mag.ply,screwdriver_large.ply,pierce,1.390298e+00,1.436524e-04
