action_part,grasp_part,attachment,geo_score,att_score
screwdriver_small.ply,wood_long_midPoint.ply,None,6.981614e-01,Inf
screwdriver_small.ply,wood_long_midPoint.ply,None,6.981614e-01,Inf
red_foam.ply,yellow_foam.ply,None,7.736313e-01,Inf
red_foam.ply,screwdriver_small.ply,pierce,8.194834e-01,1.439373e-04
red_foam.ply,wood_long_midPoint.ply,None,8.285116e-01,Inf
red_foam.ply,wood_long_midPoint.ply,None,8.285116e-01,Inf
screwdriver_small.ply,yellow_foam.ply,None,9.097160e-01,Inf
yellow_foam.ply,wood_long_midPoint.ply,None,9.555895e-01,Inf
yellow_foam.ply,wood_long_midPoint.ply,None,9.555895e-01,Inf
yellow_foam.ply,screwdriver_small.ply,pierce,9.755221e-01,1.439271e-04
wood_long_midPoint.ply,screwdriver_small.ply,pierce,1.108414e+00,1.439186e-04
wood_long_midPoint.ply,yellow_foam.ply,None,1.137329e+00,Inf
wood_long_midPoint.ply,yellow_foam.ply,None,1.137329e+00,Inf
screwdriver_small.ply,red_foam.ply,None,1.363298e+00,Inf
yellow_foam.ply,red_foam.ply,None,1.448708e+00,Inf
wood_long_midPoint.ply,red_foam.ply,None,1.590217e+00,Inf
wood_long_midPoint.ply,red_foam.ply,None,1.590217e+00,Inf
