action_part,grasp_part,attachment,geo_score,att_score
steel_bowl_small.ply,wood_long_midPoint.ply,magnetic,2.822337e-01,9.962168e-02
steel_bowl_small.ply,wood_long_midPoint.ply,magnetic,2.822337e-01,1.524993e-01
steel_bowl.ply,wood_long_midPoint.ply,None,3.346900e-01,Inf
steel_bowl.ply,wood_long_midPoint.ply,None,3.346900e-01,Inf
steel_bowl_small.ply,wood_long_endPoint.ply,magnetic,5.290707e-01,3.869027e-03
steel_bowl_small.ply,wood_long_endPoint.ply,magnetic,5.290707e-01,5.674690e-02
steel_bowl.ply,wood_long_endPoint.ply,None,6.105155e-01,Inf
steel_bowl.ply,wood_long_endPoint.ply,None,6.105155e-01,Inf
steel_bowl_small.ply,steel_bowl.ply,None,8.626938e-01,Inf
steel_bowl_small.ply,steel_bowl.ply,None,8.626938e-01,Inf
steel_bowl_small.ply,steel_bowl.ply,None,8.626938e-01,Inf
wood_long_endPoint.ply,wood_long_midPoint.ply,magnetic,9.106696e-01,2.854838e-01
steel_bowl.ply,steel_bowl_small.ply,None,9.341528e-01,Inf
steel_bowl.ply,steel_bowl_small.ply,None,9.341528e-01,Inf
steel_bowl.ply,steel_bowl_small.ply,None,9.341528e-01,Inf
wood_long_midPoint.ply,wood_long_endPoint.ply,magnetic,1.193348e+00,8.035096e-02
wood_long_midPoint.ply,steel_bowl_small.ply,magnetic,1.500504e+00,1.335854e-01
wood_long_midPoint.ply,steel_bowl_small.ply,magnetic,1.500504e+00,8.035135e-02
wood_long_midPoint.ply,steel_bowl.ply,None,1.522827e+00,Inf
wood_long_midPoint.ply,steel_bowl.ply,None,1.522827e+00,Inf
wood_long_endPoint.ply,steel_bowl_small.ply,magnetic,1.548690e+00,2.429659e-01
wood_long_endPoint.ply,steel_bowl_small.ply,magnetic,1.548690e+00,1.897318e-01
wood_long_endPoint.ply,steel_bowl.ply,None,1.579065e+00,Inf
wood_long_endPoint.ply,steel_bowl.ply,None,1.579065e+00,Inf
