obj_combo,geoscore,att_type,att_score,total_score
"('wood_wheel.ply', 'pliers.ply')",58.59162,grasp,0.2459567,0.2459567
"('wood_wheel.ply', 'pliers.ply')",58.59162,grasp,0.2477735,0.2477735
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",59.3199,magnetic,0.2767672,0.2767672
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",58.64237,magnetic,0.2890261,0.2890261
"('red_flat_piece_2mag.ply', 'pliers.ply')",58.41876,grasp,0.29337,0.29337
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",59.3199,magnetic,0.3045706,0.3045706
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",58.64237,magnetic,0.3084956,0.3084956
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",58.64237,magnetic,0.3324963,0.3324963
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",59.3199,magnetic,0.3326076,0.3326076
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",58.64237,magnetic,0.3519658,0.3519658
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",59.3199,magnetic,0.360411,0.360411
"('red_flat_piece_2mag.ply', 'wood_wheel.ply')",58.31633,None,inf,inf
"('wood_wheel.ply', 'red_flat_piece_2mag.ply')",59.21218,None,inf,inf
"('red_cylinder_magnetic.ply', 'pliers.ply')",58.61637,None,inf,inf
"('red_cylinder_magnetic.ply', 'wood_wheel.ply')",58.62165,None,inf,inf
"('red_cylinder_magnetic.ply', 'wood_wheel.ply')",58.62165,None,inf,inf
"('pliers.ply', 'wood_wheel.ply')",58.34333,None,inf,inf
"('red_cylinder_magnetic.ply', 'wood_wheel.ply')",58.62165,None,inf,inf
"('wood_wheel.ply', 'red_cylinder_magnetic.ply')",58.67846,None,inf,inf
"('wood_wheel.ply', 'red_flat_piece_2mag.ply')",59.21218,None,inf,inf
"('pliers.ply', 'red_flat_piece_2mag.ply')",59.06111,None,inf,inf
"('pliers.ply', 'red_cylinder_magnetic.ply')",58.44606,None,inf,inf
"('red_flat_piece_2mag.ply', 'wood_wheel.ply')",58.31633,None,inf,inf
"('wood_wheel.ply', 'red_cylinder_magnetic.ply')",58.67846,None,inf,inf
"('pliers.ply', 'red_flat_piece_2mag.ply')",59.06111,None,inf,inf
"('pliers.ply', 'red_cylinder_magnetic.ply')",58.44606,None,inf,inf
"('red_flat_piece_2mag.ply', 'wood_wheel.ply')",58.31633,None,inf,inf
"('wood_wheel.ply', 'red_flat_piece_2mag.ply')",59.21218,None,inf,inf
"('red_cylinder_magnetic.ply', 'pliers.ply')",58.61637,None,inf,inf
"('wood_wheel.ply', 'red_cylinder_magnetic.ply')",58.67846,None,inf,inf
"('pliers.ply', 'red_flat_piece_2mag.ply')",59.06111,None,inf,inf
"('pliers.ply', 'red_cylinder_magnetic.ply')",58.44606,None,inf,inf
