action_part,grasp_part,attachment,geo_score,att_score
blue_cup.ply,tongs.ply,grasp,6.589568e-01,6.194096e-02
red_cylinder_magnetic.ply,tongs.ply,None,6.822949e-01,Inf
red_cylinder_magnetic.ply,tongs.ply,None,6.822949e-01,Inf
beans_tin.ply,tongs.ply,None,8.202274e-01,Inf
beans_tin.ply,tongs.ply,None,8.202274e-01,Inf
blue_cup.ply,beans_tin.ply,None,9.289565e-01,Inf
red_cylinder_magnetic.ply,beans_tin.ply,None,9.421849e-01,Inf
red_cylinder_magnetic.ply,beans_tin.ply,None,9.421849e-01,Inf
red_cylinder_magnetic.ply,beans_tin.ply,None,9.421849e-01,Inf
blue_cup.ply,red_cylinder_magnetic.ply,None,9.975222e-01,Inf
blue_cup.ply,red_cylinder_magnetic.ply,None,9.975222e-01,Inf
blue_cup.ply,red_cylinder_magnetic.ply,None,9.975222e-01,Inf
beans_tin.ply,red_cylinder_magnetic.ply,None,1.133949e+00,Inf
beans_tin.ply,red_cylinder_magnetic.ply,None,1.133949e+00,Inf
beans_tin.ply,red_cylinder_magnetic.ply,None,1.133949e+00,Inf
red_cylinder_magnetic.ply,blue_cup.ply,None,1.168735e+00,Inf
red_cylinder_magnetic.ply,blue_cup.ply,None,1.168735e+00,Inf
red_cylinder_magnetic.ply,blue_cup.ply,None,1.168735e+00,Inf
tongs.ply,red_cylinder_magnetic.ply,None,1.235525e+00,Inf
tongs.ply,red_cylinder_magnetic.ply,None,1.235525e+00,Inf
tongs.ply,red_cylinder_magnetic.ply,None,1.235525e+00,Inf
tongs.ply,beans_tin.ply,None,1.251626e+00,Inf
beans_tin.ply,blue_cup.ply,None,1.255542e+00,Inf
tongs.ply,blue_cup.ply,None,1.468494e+00,Inf
