action_part,grasp_part,attachment,geo_score,att_score
screwdriver_small.ply,tongs.ply,grasp,6.932628e-01,3.899156e-02
screwdriver_small.ply,yellow_foam.ply,None,7.398711e-01,Inf
yellow_foam.ply,tongs.ply,grasp,8.850642e-01,1.036336e-01
yellow_foam.ply,screwdriver_small.ply,pierce,9.298952e-01,5.621360e-03
tongs.ply,screwdriver_small.ply,pierce,9.445192e-01,5.621349e-03
red_flat_piece_2mag.ply,yellow_foam.ply,None,9.693037e-01,Inf
red_flat_piece_2mag.ply,yellow_foam.ply,None,9.693037e-01,Inf
red_flat_piece_2mag.ply,yellow_foam.ply,None,9.693037e-01,Inf
tongs.ply,yellow_foam.ply,None,9.924275e-01,Inf
red_flat_piece_2mag.ply,screwdriver_small.ply,pierce,1.159838e+00,5.621363e-03
red_flat_piece_2mag.ply,tongs.ply,grasp,1.217393e+00,6.048588e-02
yellow_foam.ply,red_flat_piece_2mag.ply,None,1.389678e+00,Inf
yellow_foam.ply,red_flat_piece_2mag.ply,None,1.389678e+00,Inf
yellow_foam.ply,red_flat_piece_2mag.ply,None,1.389678e+00,Inf
screwdriver_small.ply,red_flat_piece_2mag.ply,None,1.402790e+00,Inf
screwdriver_small.ply,red_flat_piece_2mag.ply,None,1.402790e+00,Inf
screwdriver_small.ply,red_flat_piece_2mag.ply,None,1.402790e+00,Inf
tongs.ply,red_flat_piece_2mag.ply,None,1.618513e+00,Inf
tongs.ply,red_flat_piece_2mag.ply,None,1.618513e+00,Inf
tongs.ply,red_flat_piece_2mag.ply,None,1.618513e+00,Inf
