Name,Joint,Feats,,,,,,,,,,
tablefork_13_3dwh.ply,fixed,0.0410376807,0.0001014256,0.0080120171,0.0013146257,-0.0037659277,-0.0073264605,0.0002986964,0.0036391488,-0.0029155231,0.001929827,0.0001938798
screwdriver_3_seg.ply,fixed,0.0292414497,-0.0102171768,-0.0252257282,-0.0182185227,0.0182638293,0.0055732192,-0.0064925578,0.0041478752,0.0071177643,-0.0115075981,-0.0015789986
mug_1_3dwh.ply,fixed,-0.0533553336,0.0133641918,0.0249384597,0.0003243112,0.0099031513,0.0051244168,0.0024521629,0.0058482973,0.0007769753,0.0050427805,0.0093175006
pliers_1.ply,revolute,-0.0280564584,-0.0033499974,-0.0042485996,5.74017182416009E-005,-0.0150629545,-0.0032025528,-0.0020592117,-0.00942257,-0.0054605761,0.0006977363,-0.0019360844
tablefork_19_3dwh.ply,fixed,-0.016341559,-0.0292661808,0.0144911991,-0.0080124283,-0.0059304624,-0.0202610446,0.0042972787,0.0136731833,-0.0023976133,0.0007976172,-0.0028783175
cube.ply,fixed,-0.0551633055,0.058283767,0.0137475446,-0.0080158877,0.0314810478,0.0134749367,0.0004810071,0.0182944841,0.0009034583,0.0134153506,-0.0030518554
spoon_4_3dwh.ply,fixed,0.0124609211,-0.0164518205,0.0103247815,-0.0138976366,-0.0040310252,-0.0149853146,0.0001162937,0.0115082708,-0.0033162191,0.0002646746,-0.0046897034
chineseknife_2_3dwh.ply,fixed,0.0286569748,-0.0060501477,-0.0019277764,-0.0057064318,0.0003478239,0.0052067704,0.0031955825,-0.0040371444,-0.0059410537,0.0042608695,0.0074251948
bowl_3_3dwh.ply,fixed,-0.0494275299,0.0003362161,0.0300553261,0.0036851679,0.0079316708,0.0082160949,-0.0116211504,-0.0144800563,0.000853189,-0.0115764741,-0.0077511385
scissor_1.ply,revolute,-0.0245138113,-0.0290627435,-0.005107841,0.0072836741,-0.0022455498,0.0089821078,-0.0051090573,0.0059761791,-0.0052892967,0.0029008933,0.0016068189
ladle_1_3dwh.ply,fixed,-0.0352906977,-0.0191265734,0.0020007412,0.0015859337,-0.0173356644,0.0123133179,-0.0001684564,-0.0045127687,0.0054001451,0.0008271432,0.0030359009
coin.ply,fixed,-0.0440520701,-0.0354228777,-0.0055774347,0.0336205655,0.0178324267,-0.00639478,0.0369153362,-0.0063544758,0.0152048802,0.0029977493,-0.0100210016
bottle_8_3dwh.ply,fixed,-0.0414849692,-0.0055976836,-0.0250357246,0.0071015664,0.012135494,-0.0262508523,-0.0274118821,-0.0111706259,0.0102383044,0.0205179024,0.0017140389
chopstick_1_3dwh.ply,fixed,0.0721832048,0.0201680983,0.0087700504,0.0302424552,-0.0097059469,-0.0045278805,-0.0086118133,0.0105666598,0.0152157884,-0.0054631945,0.0066747219
