obj_combo,geoscore,att_type,att_score,total_score
"('red_flat_piece_2mag.ply', 'screwdriver_large.ply')",0.377386,pierce,0.001011135,0.001011135
"('red_cylinder_magnetic.ply', 'screwdriver_large.ply')",0.9869521,pierce,0.001011135,0.001011135
"('screwdriver_large.ply', 'pliers.ply')",1.495469,grasp,0.01983264,0.01983264
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",1.761099,magnetic,0.06618743,0.06618743
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",0.4697684,magnetic,0.06645233,0.06645233
"('red_flat_piece_2mag.ply', 'pliers.ply')",0.646405,grasp,0.1130934,0.1130934
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",1.761099,magnetic,0.1176583,0.1176583
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",0.4697684,magnetic,0.1179257,0.1179257
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",0.4697684,magnetic,0.1419624,0.1419624
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",1.761099,magnetic,0.1421069,0.1421069
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",0.4697684,magnetic,0.1934358,0.1934358
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",1.761099,magnetic,0.1935778,0.1935778
"('pliers.ply', 'red_flat_piece_2mag.ply')",1.52745,None,inf,inf
"('screwdriver_large.ply', 'red_flat_piece_2mag.ply')",1.882598,None,inf,inf
"('pliers.ply', 'screwdriver_large.ply')",0.6274171,pierce,0.001011135,inf
"('pliers.ply', 'red_cylinder_magnetic.ply')",0.803488,None,inf,inf
"('screwdriver_large.ply', 'red_cylinder_magnetic.ply')",1.329032,None,inf,inf
"('screwdriver_large.ply', 'red_cylinder_magnetic.ply')",1.329032,None,inf,inf
"('red_cylinder_magnetic.ply', 'pliers.ply')",1.353288,None,inf,inf
"('screwdriver_large.ply', 'red_flat_piece_2mag.ply')",1.882598,None,inf,inf
"('pliers.ply', 'red_flat_piece_2mag.ply')",1.52745,None,inf,inf
"('screwdriver_large.ply', 'red_flat_piece_2mag.ply')",1.882598,None,inf,inf
"('pliers.ply', 'red_cylinder_magnetic.ply')",0.803488,None,inf,inf
"('pliers.ply', 'red_flat_piece_2mag.ply')",1.52745,None,inf,inf
"('pliers.ply', 'red_cylinder_magnetic.ply')",0.803488,None,inf,inf
"('red_cylinder_magnetic.ply', 'pliers.ply')",1.353288,None,inf,inf
"('screwdriver_large.ply', 'red_cylinder_magnetic.ply')",1.329032,None,inf,inf
