action_part,grasp_part,attachment,geo_score,att_score
yellow_foam.ply,pliers.ply,grasp,5.821136e+01,3.390069e-01
red_flat_piece_2mag.ply,coin.ply,None,5.833022e+01,Inf
red_flat_piece_2mag.ply,coin.ply,None,5.833022e+01,Inf
red_flat_piece_2mag.ply,coin.ply,None,5.833022e+01,Inf
red_flat_piece_2mag.ply,pliers.ply,grasp,5.841876e+01,2.933700e-01
pliers.ply,yellow_foam.ply,None,5.846112e+01,Inf
red_flat_piece_2mag.ply,yellow_foam.ply,None,5.861324e+01,Inf
red_flat_piece_2mag.ply,yellow_foam.ply,None,5.861324e+01,Inf
red_flat_piece_2mag.ply,yellow_foam.ply,None,5.861324e+01,Inf
coin.ply,red_flat_piece_2mag.ply,None,5.868327e+01,Inf
coin.ply,red_flat_piece_2mag.ply,None,5.868327e+01,Inf
coin.ply,red_flat_piece_2mag.ply,None,5.868327e+01,Inf
coin.ply,pliers.ply,grasp,5.873705e+01,2.432798e-01
coin.ply,pliers.ply,grasp,5.873705e+01,2.537239e-01
yellow_foam.ply,coin.ply,None,5.891104e+01,Inf
yellow_foam.ply,red_flat_piece_2mag.ply,None,5.893004e+01,Inf
yellow_foam.ply,red_flat_piece_2mag.ply,None,5.893004e+01,Inf
yellow_foam.ply,red_flat_piece_2mag.ply,None,5.893004e+01,Inf
coin.ply,yellow_foam.ply,None,5.893029e+01,Inf
pliers.ply,coin.ply,None,5.904385e+01,Inf
pliers.ply,red_flat_piece_2mag.ply,None,5.906111e+01,Inf
pliers.ply,red_flat_piece_2mag.ply,None,5.906111e+01,Inf
pliers.ply,red_flat_piece_2mag.ply,None,5.906111e+01,Inf
