pliers_1.ply,revolute,0.2151463685,-0.1677189274,-0.1405800043,-0.0447654827,-0.1285686657,0.0331659245,0.1297815191,-0.0938302549,-0.1280378195,-0.0405464636
tablefork_19_3dwh.ply,fixed,-0.3087956947,0.1703830383,-0.1472734657,-0.1457979528,-0.0594924212,-0.0612257577,0.0982097419,-0.0009116515,0.0226865062,-0.0317753704
cube.ply,fixed,-0.4113847636,-0.4000520407,0.3405421248,0.1759792887,0.0127804782,0.1683928167,-0.021283683,0.0362164151,0.0568172181,-0.0755889274
spoon_4_3dwh.ply,fixed,-0.3541456679,0.2074799052,-0.0735589217,-0.1201652398,0.07070555,0.0746378623,-0.2286493304,0.046085763,-0.0122396308,0.1163443829
chineseknife_2_3dwh.ply,fixed,-0.2754006141,0.0462269225,-0.1688985433,-0.0900259015,-0.0489842694,0.0055367538,-0.029104672,-0.0886020673,-0.0017665136,-0.0577413086
bowl_3_3dwh.ply,fixed,0.7355009384,-0.0714737901,0.1814498411,-0.0974425159,-0.0003227561,-0.1633698504,-0.0841445508,-0.0202236936,0.0396463048,-0.0095945426
scissor_1.ply,revolute,0.515869294,-0.0516589887,0.0116447062,0.0017146963,-0.0206233905,0.1114757209,0.3569208249,0.259290914,-0.1404967035,0.1391418032
ladle_1_3dwh.ply,fixed,-0.1887583826,-0.2552531169,-0.1764942432,0.135566778,0.1148136916,0.1586076583,-0.1063608833,0.1350311447,0.0395925796,0.081004547
coin.ply,fixed,0.0036684728,-0.4359033386,-0.1138013163,0.111672483,0.0216644394,-0.0568275493,-0.0330319082,-0.0339666901,-0.0074095911,-0.028618229
bottle_8_3dwh.ply,fixed,-0.2840961649,0.0024292605,-0.2211058383,-0.0650136547,-0.0319348863,-0.0112655827,0.0050367855,-0.0430329721,-0.0233134688,0.0063252621
chopstick_1_3dwh.ply,fixed,0.3755158654,0.4244975193,0.1191976659,0.580558556,-0.1744323848,0.1169632387,0.2089014021,-0.2459823968,0.1825018815,0.050715269
